postcode,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population,2022_population,2023_population,ERP_2023_change_number,natural_2023_increase_number,internal_2023_migration_number,overseas_2023_migration_number,area_in_square_kilometers,estimated_2024_population,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile,ERP_2023_change_percentage(%),population_density_2023
3793,5753,5743,5712,5680,5623,5609,5649,5707,5736,5747,5732,5774,5788,5791,5791,5827,5859,5865,5852,5878,5859,5795,5807,12,21,-53,44,68.6,5819,1010.19,268.0,6.0,52.0,5816.0,1065.26,425.0,9.0,83.0,0.21,84.65
3796,9396,9378,9356,9350,9357,9395,9427,9466,9561,9597,9615,9695,9768,9839,9941,10081,10102,10086,10059,9949,9866,9807,9919,112,83,-32,61,17.0,10028,991.95,220.0,5.0,43.0,9799.0,1074.94,451.0,9.0,88.0,1.13,583.47
3802,27411,27257,27184,27132,27011,26861,26750,26762,26769,26733,26650,26652,26654,26631,26616,26659,26655,26630,26539,26303,25651,25386,25554,168,123,-418,463,20.1,25733,992.15,221.5,4.5,43.5,25446.0,1028.53,311.0,7.0,61.0,0.66,1271.34
3803,8977,9267,9519,9697,9855,9923,10038,10228,10430,10582,10628,10757,10885,11017,11125,11335,11516,11697,11911,11968,11598,11580,11765,185,47,-209,347,8.1,11953,937.39,94.0,2.0,19.0,11472.0,978.36,158.0,4.0,31.0,1.57,1452.47
3804,17939,18486,18959,19460,19796,19944,20137,20450,20694,20794,20873,21082,21295,21550,21799,22150,22290,22402,22393,22253,21925,21736,21862,126,103,-265,288,39.3,21993,998.81,235.5,5.0,46.0,21745.0,1089.4,424.0,8.5,83.0,0.58,556.28
3805,26478,29704,33338,35413,37249,38974,40436,41550,42371,42809,42937,43546,44188,44703,45155,45770,46157,46288,46247,45943,45100,44900,45527,627,371,-762,1018,22.3,46173,971.11,173.0,3.67,34.0,44623.0,1036.82,326.33,7.0,64.0,1.38,2041.57
3806,27527,29959,32314,34219,36210,37878,40159,42419,44575,46027,46723,47499,48142,48791,49604,50698,51510,52096,52653,52829,52529,53107,54847,1740,263,564,913,34.6,56644,1029.29,309.0,6.33,60.33,51977.0,1067.09,424.33,8.67,83.0,3.17,1585.17
3807,3666,4112,4810,5595,6194,6720,6824,7109,7496,7705,8156,8857,9533,10247,11684,13496,15476,17743,20259,22381,23966,25775,26967,1192,362,573,257,33.3,28207,1021.52,298.0,6.0,58.0,23632.0,1069.96,439.0,9.0,86.0,4.42,809.82
3810,13656,14020,15281,17056,18483,20285,22541,25192,28396,31765,34903,38394,41568,43992,46352,49186,51310,53160,54894,56355,56853,57950,59524,1574,690,215,669,96.8,61177,953.69,130.25,3.0,25.5,56142.0,1001.9,239.75,5.25,47.0,2.64,614.92
3815,7445,7518,7523,7561,7582,7662,7685,7849,8065,8162,8217,8349,8443,8531,8625,8755,8898,9121,9402,9701,9940,10063,10193,130,29,63,38,366.0,10326,958.48,143.0,3.0,28.0,9868.0,1069.42,437.0,9.0,86.0,1.28,27.85
3818,9882,10015,10130,10340,10472,10734,11020,11315,11832,12599,13323,14046,14678,15201,15787,16435,17117,17780,18447,19198,19800,20542,21180,638,125,451,62,326.8,21837,933.67,84.0,2.0,17.0,19773.0,1016.31,273.0,6.0,54.0,3.01,64.81
3820,14203,14327,14501,14654,14959,15275,15561,15902,16225,16632,16964,17284,17635,18004,18466,19088,19766,20501,21283,22099,23098,23787,24417,630,70,445,115,352.2,25052,978.83,186.0,4.0,36.0,23051.0,1019.27,286.0,6.0,56.0,2.58,69.33
3824,6112,6066,6067,6022,5990,6051,6189,6374,6625,6947,7166,7270,7394,7513,7656,7828,7985,8060,8110,8169,8319,8451,8488,37,7,7,23,501.5,8522,958.19,142.0,3.0,28.0,8368.0,1017.57,278.0,6.0,55.0,0.44,16.93
3825,21640,21678,21659,21612,21466,21394,21248,21251,21249,21366,21432,21419,21413,21390,21400,21483,21555,21629,21729,21861,21965,22056,22170,114,-62,96,80,448.0,22292,884.06,20.5,1.0,4.5,21998.0,961.68,169.0,4.0,33.5,0.51,49.49
3833,5736,5750,5762,5801,5815,5857,5890,5914,5992,6036,6053,6059,6069,6073,6078,6095,6172,6260,6358,6436,6544,6634,6689,55,6,26,23,2753.3,6743,974.3,175.0,4.0,34.0,6585.0,1036.25,336.0,7.0,66.0,0.82,2.43
3840,14345,14268,14150,14001,13944,13936,13984,14053,14108,14207,14302,14265,14204,14111,14049,14024,14049,14108,14175,14284,14400,14426,14455,29,-1,-36,66,85.5,14484,828.89,2.0,1.0,1.0,14432.0,859.06,10.0,1.0,2.0,0.2,169.06
3841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,0,0,0,0,0,2071.3,0,,,,,0.0,,,,,,0.0
3842,11430,11365,11289,11232,11220,11218,11265,11327,11385,11489,11568,11567,11579,11576,11574,11594,11613,11642,11693,11781,11858,11982,12095,113,58,-19,74,796.5,12204,932.89,82.0,2.0,16.0,11912.0,993.97,201.0,4.0,40.0,0.93,15.19
3844,27706,27865,28075,28319,28687,29293,29809,30331,30832,31263,31636,31901,32095,32237,32427,32732,33122,33491,33845,34177,34299,34684,34864,180,29,-47,198,2081.5,35051,930.68,81.0,2.0,16.33,34427.0,971.33,144.33,3.0,28.67,0.52,16.75
3847,4441,4428,4402,4386,4354,4348,4357,4407,4508,4573,4664,4699,4727,4742,4759,4791,4856,4900,4920,4870,4912,4870,4888,18,20,-18,16,968.5,4908,937.05,89.0,2.0,18.0,4928.0,1022.4,294.0,6.0,58.0,0.37,5.05
3850,13676,13673,13685,13724,13820,13942,14019,14134,14222,14315,14441,14568,14666,14729,14781,14891,14914,14988,15075,15173,15264,15329,15363,34,4,-94,124,45.6,15394,959.28,146.0,3.0,29.0,15301.0,960.35,115.0,3.0,23.0,0.22,336.91
3851,3830,3782,3751,3721,3700,3685,3730,3769,3806,3861,3902,4008,4103,4184,4269,4367,4449,4528,4663,4788,4906,4950,4966,16,-9,-2,27,1610.8,4981,937.21,91.0,2.0,18.0,4915.0,1008.68,251.0,5.0,49.0,0.32,3.08
3860,13002,12976,12958,12984,13023,13076,13157,13263,13371,13488,13595,13689,13739,13804,13873,13973,14132,14257,14418,14598,14698,14937,15178,241,44,117,80,2532.3,15421,921.54,58.0,2.0,12.0,14756.0,999.8,220.0,5.0,43.0,1.59,5.99
3875,12080,12108,12189,12342,12462,12662,12846,13001,13126,13320,13458,13680,13894,14157,14524,14899,15170,15405,15547,15563,15653,15780,15819,39,-25,1,63,155.0,15851,921.97,60.0,2.0,12.0,15684.0,956.04,102.0,2.0,20.0,0.25,102.06
