SA2 code,SA2 name,IEO_Score,IEO_State Rank,IEO_State Decile,IEO_State Percentile,IER_Usual Resident Population,IER_Score,IER_State Rank,IER_State Decile,IER_State Percentile
206021499,Northcote - East,1145.6438127,478.0,10.0,93.0,15068.0,1004.659624,240.0,5.0,47.0
206021500,Northcote - West,1156.4794595,492.0,10.0,96.0,10299.0,998.7748621,214.0,5.0,42.0
206031113,Ascot Vale,1092.7295387,416.0,9.0,81.0,15191.0,981.2210859,167.0,4.0,33.0
206031115,Flemington,1067.6841803,371.0,8.0,72.0,9065.0,861.7835658,11.0,1.0,3.0
206031116,Moonee Ponds,1115.7990376,447.0,9.0,87.0,16224.0,997.7834097,212.0,5.0,42.0
206031501,Essendon (West) - Aberfeldie,1083.2433897,401.0,8.0,78.0,16042.0,1035.454505,330.0,7.0,65.0
206031502,Essendon - East,1110.9406723,439.0,9.0,85.0,12191.0,996.2869796,209.0,5.0,41.0
206041117,Carlton,1143.087432,475.0,10.0,92.0,16655.0,773.1047285,3.0,1.0,1.0
206041118,Docklands,1159.8211143,496.0,10.0,96.0,15493.0,875.2269127,14.0,1.0,3.0
206041119,East Melbourne,1188.7401619,515.0,10.0,100.0,4896.0,980.3167563,164.0,4.0,32.0
206041120,Flemington Racecourse,1201.127936,516.0,10.0,100.0,77.0,972.3452334,144.0,3.0,29.0
206041121,Kensington (Vic.),1145.9058249,480.0,10.0,93.0,10745.0,949.7888032,90.0,2.0,18.0
206041124,Parkville,1162.5554651,500.0,10.0,97.0,7297.0,914.4154819,44.0,1.0,9.0
206041125,South Yarra - West,1184.787956,513.0,10.0,100.0,6423.0,960.8653845,117.0,3.0,23.0
206041503,Melbourne CBD - East,1147.1985961,482.0,10.0,94.0,9848.0,782.8660941,4.0,1.0,1.0
206041504,Melbourne CBD - North,1138.9399079,471.0,10.0,92.0,16870.0,715.838702,1.0,1.0,1.0
206041505,Melbourne CBD - West,1140.6919854,472.0,10.0,92.0,15648.0,765.9285515,2.0,1.0,1.0
206041506,North Melbourne,1138.7428137,470.0,10.0,91.0,15637.0,847.6259118,7.0,1.0,2.0
206041508,Southbank (West) - South Wharf,1153.5634077,485.0,10.0,94.0,6463.0,890.7279027,21.0,1.0,5.0
206041509,Southbank - East,1154.8921746,489.0,10.0,95.0,16101.0,858.5464972,9.0,1.0,2.0
206041510,West Melbourne - Residential,1150.3524721,483.0,10.0,94.0,7446.0,881.6573057,16.0,1.0,4.0
206051128,Albert Park,1159.8662939,497.0,10.0,97.0,15825.0,995.7771908,206.0,5.0,41.0
206051129,Elwood,1154.1152903,487.0,10.0,95.0,14818.0,977.6509939,155.0,4.0,31.0
206051130,Port Melbourne,1138.41542,469.0,10.0,91.0,16192.0,989.5683685,190.0,4.0,37.0
